"MacroTrends Data Download"
"CTRM - Historical Price and Volume Data"
"Note: Historical prices are adjusted for stock splits."

"Disclaimer and Terms of Use: Historical stock data is provided 'as is' and solely for informational purposes, not for trading purposes or advice."
"MacroTrends LLC expressly disclaims the accuracy, adequacy, or completeness of any data and shall not be liable for any errors, omissions or other defects in, "
"delays or interruptions in such data, or for any actions taken in reliance thereon.  Neither MacroTrends LLC nor any of our information providers will be liable"
"for any damages relating to your use of the data provided."


"ATTRIBUTION: Proper attribution requires clear indication of the data source as ""www.macrotrends.net""."
"A ""dofollow"" backlink to the originating page is also required if the data is displayed on a web page."


date,open,high,low,close,volume
2019-06-11,44.0000,47.1000,41.9000,43.8000,15478
2019-06-12,43.0000,44.4000,42.6000,43.4000,5136
2019-06-13,44.3000,49.5000,43.4000,46.1000,19034
2019-06-14,45.6000,47.5000,44.5000,44.6400,9755
2019-06-17,44.8000,46.0990,44.2000,44.8000,3072
2019-06-18,44.1000,46.2000,43.4000,44.0300,11596
2019-06-19,44.1000,44.6400,42.5000,43.3790,2564
2019-06-20,43.5000,43.5000,41.1680,42.5000,5982
2019-06-21,41.6000,42.1000,40.7680,40.8000,2152
2019-06-24,41.0000,42.1940,38.0000,41.0000,4020
2019-06-25,40.0820,42.0000,39.7000,41.7000,2372
2019-06-26,40.6670,41.5000,40.0000,41.0000,2312
2019-06-27,41.1000,42.9990,40.6000,41.9000,8483
2019-06-28,42.5000,46.0000,42.0000,42.7000,13048
2019-07-01,42.1000,43.9990,40.0000,42.2000,4785
2019-07-02,41.7000,42.7000,41.0000,41.6710,4656
2019-07-03,42.7000,42.7000,41.2000,41.5070,1342
2019-07-05,42.3000,42.3000,40.5000,41.2000,981
2019-07-08,41.0000,41.8000,40.4000,40.8000,2900
2019-07-09,39.7000,43.8000,39.3000,43.4000,13258
2019-07-10,41.2410,42.0990,38.8000,41.5000,5639
2019-07-11,40.1000,43.0000,40.1000,41.0050,6635
2019-07-12,41.6130,42.1000,40.0000,40.1000,2165
2019-07-15,41.0000,42.7530,40.2010,41.5000,6755
2019-07-16,40.2000,41.4000,40.2000,40.4000,3212
2019-07-17,41.0970,42.2950,40.7000,41.4000,6782
